"","X","LUH_orginal","ProductionItem","FAOItemCode","MAGsho","kcr","LUH2MAg","LUH2kcr","Cropgroup"
"103",103,"c3per","554|Cranberries","554","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"104",104,"c3per","558|Other berries and fruits of the genus vaccinium nec","558","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"105",105,"c3per","560|Grapes","560","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"106",106,"c3per","569|Figs","569","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"107",107,"c3per","571|Mangoes, guavas and mangosteens","571","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"108",108,"c3per","572|Avocados","572","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"109",109,"c3per","574|Pineapples","574","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"110",110,"c3per","577|Dates","577","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"111",111,"c3per","587|Persimmons","587","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"112",112,"c3per","591|Cashewapple","591","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"113",113,"c3per","592|Kiwi fruit","592","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"114",114,"c3per","600|Papayas","600","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"115",115,"c3per","603|Other tropical fruits, nec","603","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"116",116,"c3per","619|Other fruits, nec","619","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"117",117,"c3per","656|Coffee, green","656","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"118",118,"c3per","661|Cocoa beans","661","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"119",119,"c3per","667|Tea leaves","667","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"120",120,"c3per","671|Mat? leaves","671","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"121",121,"c3per","687|Pepper (Piper spp), raw","687","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"122",122,"c3per","692|Vanilla, raw","692","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"123",123,"c3per","693|Cinnamon and cinnamon-tree flowers, raw","693","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"124",124,"c3per","698|Cloves (whole stems), raw","698","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"125",125,"c3per","702|Nutmeg, mace, cardamoms, raw","702","c3a","others","c3per.MAGc3a","c3per.others","Fruits Vegetables Nuts"
"126",126,"c3per","249|Coconuts, in shell","249","c3a","rapeseed","c3per.MAGc3a","c3per.rapeseed","Other oil crops (incl rapeseed)"
"127",127,"c3per","260|Olives","260","c3a","rapeseed","c3per.MAGc3a","c3per.rapeseed","Other oil crops (incl rapeseed)"
"128",128,"c3per","263|Karite nuts (sheanuts)","263","c3a","rapeseed","c3per.MAGc3a","c3per.rapeseed","Other oil crops (incl rapeseed)"
"129",129,"c3per","275|Tung nuts","275","c3a","rapeseed","c3per.MAGc3a","c3per.rapeseed","Other oil crops (incl rapeseed)"
"130",130,"c3per","277|Jojoba seeds","277","c3a","rapeseed","c3per.MAGc3a","c3per.rapeseed","Other oil crops (incl rapeseed)"
"131",131,"c3per","305|Tallowtree seeds","305","c3a","rapeseed","c3per.MAGc3a","c3per.rapeseed","Other oil crops (incl rapeseed)"
"132",132,"c3per","310|Kapok fruit","310","c3a","rapeseed","c3per.MAGc3a","c3per.rapeseed","Other oil crops (incl rapeseed)"
